datetime,speed
2024-01-01 12:25:00,94.14628975265018
2024-01-01 12:30:00,
2024-01-01 12:35:00,93.81802120141344
2024-01-01 12:40:00,
2024-01-01 12:45:00,93.55053003533568
2024-01-01 12:50:00,93.00883392226147
2024-01-01 12:55:00,92.33462897526502
2024-01-01 13:00:00,92.373851590106
2024-01-01 13:05:00,91.89328621908128
2024-01-01 13:10:00,
2024-01-01 13:15:00,92.1190812720848
2024-01-01 13:20:00,
2024-01-01 13:25:00,91.27173144876326
2024-01-01 13:30:00,
2024-01-01 13:35:00,91.0070671378092
2024-01-01 13:40:00,
2024-01-01 13:45:00,83.78999999999999
2024-01-01 13:50:00,90.739222614841
2024-01-01 13:55:00,90.65371024734982
2024-01-01 14:00:00,90.25689045936396
2024-01-01 14:05:00,90.36572438162544
2024-01-01 14:10:00,
2024-01-01 14:15:00,90.43109540636044
2024-01-01 14:20:00,
2024-01-01 14:25:00,88.95441696113073
2024-01-01 14:30:00,
2024-01-01 14:35:00,88.62791519434629
2024-01-01 14:40:00,
2024-01-01 14:45:00,89.1583038869258
2024-01-01 14:50:00,88.35512367491167
2024-01-01 14:55:00,88.07314487632509
2024-01-01 15:00:00,88.7922261484099
2024-01-01 15:05:00,89.14416961130742
2024-01-01 15:10:00,88.84487632508834
2024-01-01 15:15:00,88.41625441696112
2024-01-01 15:20:00,88.94240282685513
2024-01-01 15:25:00,88.37279151943463
2024-01-01 15:30:00,88.16042402826855
2024-01-01 15:35:00,87.74240282685511
2024-01-01 15:40:00,87.16572438162545
2024-01-01 15:45:00,87.26713780918728
2024-01-01 15:50:00,87.92897526501767
2024-01-01 15:55:00,88.02791519434629
2024-01-01 16:00:00,88.08233215547703
2024-01-01 16:05:00,84.34
2024-01-01 16:10:00,
2024-01-01 16:15:00,88.7339222614841
2024-01-01 16:20:00,
2024-01-01 16:25:00,86.02086330935252
2024-01-01 16:30:00,
2024-01-01 16:35:00,90.1858657243816
2024-01-01 16:40:00,
2024-01-01 16:45:00,91.33816254416962
2024-01-01 16:50:00,
2024-01-01 16:55:00,90.89434628975263
2024-01-01 17:00:00,90.93074204946996
2024-01-01 17:05:00,91.22120141342756
2024-01-01 17:10:00,
2024-01-01 17:15:00,90.79540636042402
2024-01-01 17:20:00,
2024-01-01 17:25:00,90.22826855123674
2024-01-01 17:30:00,
2024-01-01 17:35:00,89.25335689045937
2024-01-01 17:40:00,
2024-01-01 17:45:00,87.726148409894
2024-01-01 17:50:00,
2024-01-01 17:55:00,86.94134275618374
2024-01-01 18:00:00,86.62049469964664
2024-01-01 18:05:00,85.85795053003534
2024-01-01 18:10:00,
2024-01-01 18:15:00,88.1791519434629
2024-01-01 18:20:00,
2024-01-01 18:25:00,89.14028268551237
2024-01-01 18:30:00,
2024-01-01 18:35:00,91.38657243816256
2024-01-01 18:40:00,
2024-01-01 18:45:00,91.71378091872792
2024-01-01 18:50:00,
2024-01-01 18:55:00,92.00035335689046
2024-01-01 19:00:00,98.26
2024-01-01 19:05:00,92.43180212014134
2024-01-01 19:10:00,
2024-01-01 19:15:00,92.1713780918728
2024-01-01 19:20:00,
2024-01-01 19:25:00,92.3512367491166
2024-01-01 19:30:00,
2024-01-01 19:35:00,92.41872791519437
2024-01-01 19:40:00,
2024-01-01 19:45:00,91.67950530035336
2024-01-01 19:50:00,
2024-01-01 19:55:00,92.0339222614841
2024-01-01 20:00:00,92.46325088339222
2024-01-01 20:05:00,93.15583038869258
2024-01-01 20:10:00,
2024-01-01 20:15:00,93.39257950530036
2024-01-01 20:20:00,
2024-01-01 20:25:00,93.81802120141344
2024-01-01 20:30:00,
2024-01-01 20:35:00,93.3155477031802
2024-01-01 20:40:00,
2024-01-01 20:45:00,93.45724381625442
2024-01-01 20:50:00,93.83957597173143
2024-01-01 20:55:00,94.17243816254415
2024-01-01 21:00:00,94.49929328621909
2024-01-01 21:05:00,94.51943462897526
2024-01-01 21:10:00,
2024-01-01 21:15:00,94.91272084805654
2024-01-01 21:20:00,
2024-01-01 21:25:00,94.43356890459364
2024-01-01 21:30:00,
2024-01-01 21:35:00,94.17950530035336
2024-01-01 21:40:00,
2024-01-01 21:45:00,100.13
2024-01-01 21:50:00,94.51766784452296
2024-01-01 21:55:00,94.68727915194346
2024-01-01 22:00:00,94.56042402826854
2024-01-01 22:05:00,94.7042402826855
2024-01-01 22:10:00,
2024-01-01 22:15:00,94.34946996466432
2024-01-01 22:20:00,
2024-01-01 22:25:00,94.59752650176678
2024-01-01 22:30:00,
2024-01-01 22:35:00,94.8851590106007
2024-01-01 22:40:00,
2024-01-01 22:45:00,95.22473498233217
2024-01-01 22:50:00,94.5530035335689
2024-01-01 22:55:00,94.11060070671378
2024-01-01 23:00:00,94.47173144876324
2024-01-01 23:05:00,93.83780918727916
2024-01-01 23:10:00,
2024-01-01 23:15:00,93.76855123674912
2024-01-01 23:20:00,
2024-01-01 23:25:00,94.45547703180212
2024-01-01 23:30:00,
2024-01-01 23:35:00,94.626148409894
2024-01-01 23:40:00,
2024-01-01 23:45:00,95.32402826855125
2024-01-01 23:50:00,94.5565371024735
2024-01-01 23:55:00,93.83533568904596
2024-01-02 00:00:00,94.15265017667843
2024-01-02 00:05:00,95.4625441696113
2024-01-02 00:10:00,94.73992932862193
2024-01-02 00:15:00,94.7374558303887
2024-01-02 00:20:00,94.54240282685512
2024-01-02 00:25:00,94.3060070671378
2024-01-02 00:30:00,93.23498233215548
2024-01-02 00:35:00,92.84452296819788
2024-01-02 00:40:00,93.85406360424028
2024-01-02 00:45:00,94.03074204946996
2024-01-02 00:50:00,94.41802120141342
2024-01-02 00:55:00,93.99434628975266
2024-01-02 01:00:00,93.7381625441696
2024-01-02 01:05:00,94.29116607773852
2024-01-02 01:10:00,
2024-01-02 01:15:00,92.96007067137808
2024-01-02 01:20:00,
2024-01-02 01:25:00,93.10424028268552
2024-01-02 01:30:00,
2024-01-02 01:35:00,93.19540636042404
2024-01-02 01:40:00,
2024-01-02 01:45:00,92.46007067137808
2024-01-02 01:50:00,92.87844522968196
2024-01-02 01:55:00,92.71166077738516
2024-01-02 02:00:00,93.30671378091871
2024-01-02 02:05:00,92.53674911660778
2024-01-02 02:10:00,
2024-01-02 02:15:00,92.27526501766783
2024-01-02 02:20:00,
2024-01-02 02:25:00,92.7356890459364
2024-01-02 02:30:00,
2024-01-02 02:35:00,92.79929328621908
2024-01-02 02:40:00,
2024-01-02 02:45:00,90.92685512367493
2024-01-02 02:50:00,92.16042402826857
2024-01-02 02:55:00,92.90671378091872
2024-01-02 03:00:00,93.18233215547704
2024-01-02 03:05:00,92.46289752650176
2024-01-02 03:10:00,
2024-01-02 03:15:00,91.11519434628974
2024-01-02 03:20:00,
2024-01-02 03:25:00,90.86572438162544
2024-01-02 03:30:00,
2024-01-02 03:35:00,90.22756183745584
2024-01-02 03:40:00,
2024-01-02 03:45:00,90.16466431095404
2024-01-02 03:50:00,91.7494699646643
2024-01-02 03:55:00,91.36996466431096
2024-01-02 04:00:00,91.7618374558304
2024-01-02 04:05:00,92.74840989399291
2024-01-02 04:10:00,
2024-01-02 04:15:00,93.1547703180212
2024-01-02 04:20:00,
2024-01-02 04:25:00,93.20212014134276
2024-01-02 04:30:00,
2024-01-02 04:35:00,93.60035335689048
2024-01-02 04:40:00,
2024-01-02 04:45:00,94.57279151943465
2024-01-02 04:50:00,94.92897526501768
2024-01-02 04:55:00,93.61095406360424
2024-01-02 05:00:00,93.6547703180212
2024-01-02 05:05:00,93.88339222614842
2024-01-02 05:10:00,94.80212014134275
2024-01-02 05:15:00,94.247703180212
2024-01-02 05:20:00,94.82720848056536
2024-01-02 05:25:00,94.3600706713781
2024-01-02 05:30:00,94.90742049469964
2024-01-02 05:35:00,94.99151943462896
2024-01-02 05:40:00,94.72932862190814
2024-01-02 05:45:00,94.16890459363955
2024-01-02 05:50:00,94.0035335689046
2024-01-02 05:55:00,93.88339222614842
2024-01-02 06:00:00,93.82720848056536
2024-01-02 06:05:00,93.0798586572438
2024-01-02 06:10:00,
2024-01-02 06:15:00,93.06501766784451
2024-01-02 06:20:00,
2024-01-02 06:25:00,93.0911660777385
2024-01-02 06:30:00,
2024-01-02 06:35:00,93.46996466431096
2024-01-02 06:40:00,
2024-01-02 06:45:00,93.12190812720848
2024-01-02 06:50:00,
2024-01-02 06:55:00,92.8809187279152
2024-01-02 07:00:00,92.67844522968198
2024-01-02 07:05:00,92.51272084805652
2024-01-02 07:10:00,
2024-01-02 07:15:00,91.79363957597172
